date,region,index,mean,median,lower_80,upper_80,symptomatic_onsets,positive_test_adjusted,positive_test_adjusted_raw,positive,tests,infections,new_tests,new_cases,new_deaths
2020-02-25,CA,0,2.48473132868102,2.4813920906358,2.03721861012387,2.85164813838396,64.4722920854392,0,0,0,0,,,,
2020-02-26,CA,1,2.49287505629267,2.49171334696839,2.0996644999514,2.87363634645311,1.13796126381403,0,0,0,0,,,,
2020-02-27,CA,2,2.49324845570095,2.48471518206058,2.04601173759976,2.79726911454991,16.142492025915,0,0,0,0,,,,
2020-02-28,CA,3,2.4903788386029,2.4760062709556,2.1143105116368,2.80934440322098,30.8704432175605,4.47741301349521,0,0,0,,,,
2020-02-29,CA,4,2.49105702959361,2.47116387474842,2.17649087875107,2.83727462001094,35.2949161019289,6.99285356174831,0,0,0,,,,
2020-03-01,CA,5,2.48713778385722,2.47406109163779,2.1208394153844,2.74196678387787,40.4903687861045,8.99069848983345,0,0,0,,,,
2020-03-02,CA,6,2.48627895209587,2.47226825904467,2.16526689161513,2.75809377093433,49.6188206227411,11.4881932288207,0,0,0,,,,
2020-03-03,CA,7,2.47131709510979,2.45302888120306,2.19661124430539,2.73377955570575,60.9000461511017,14.8848167125746,0,0,0,,,,
2020-03-04,CA,8,2.45433899527463,2.43841169652215,2.19880019883659,2.73106193667213,74.0988700120055,18.4264897359335,0,0,0,,0,0,0
2020-03-05,CA,9,2.43455084921486,2.41808323369991,2.23517329579755,2.71824521490865,90.0767250411497,23.2032538231412,0,0,0,,0,0,0
2020-03-06,CA,10,2.41406434425016,2.40399218901184,2.18388734871275,2.62935980155753,109.487761787668,28.0915475005411,14.8493687742494,7,7,,7,7,0
2020-03-07,CA,11,2.37879678037029,2.36647807885219,2.18596285784608,2.61127398032792,132.882473261759,34.3420368431118,19.0920455668922,9,9,,9,9,0
2020-03-08,CA,12,2.34643908869599,2.34095469868005,2.16413280978323,2.56018505569209,160.952995150703,42.2624179691057,40.3054295301057,19,19,,19,19,0
2020-03-09,CA,13,2.31413573166223,2.31721289054731,2.14019986427027,2.51182190406592,194.389502870505,51.2972819410564,55.1547983043551,26,254,,254,26,0
2020-03-10,CA,14,2.27229154206632,2.27130231092437,2.07350114026142,2.45385130580235,233.992593097448,62.5050905416564,40.3054295301057,19,19,,19,19,0
2020-03-11,CA,15,2.21973797232927,2.21591229057923,2.04553641307684,2.3869922504492,280.73505743508,76.0141581251957,50.9121215117124,24,250,,250,24,0
2020-03-12,CA,16,2.16495037761489,2.15800032566722,1.99944261247521,2.32695191027947,335.463824180266,92.5422088591815,95.4602278344607,45,45,,45,45,4
2020-03-13,CA,17,2.10426086227947,2.10302439069955,1.96046870386373,2.26749556593263,398.77614576185,112.017668191682,0,0,0,,0,0,0
2020-03-14,CA,18,2.04088593663227,2.04265320650983,1.88543946671066,2.16976493782359,471.221924828235,135.443482138187,106.066919816068,50,50,,50,50,1
2020-03-15,CA,19,1.97315280882506,1.9667400128369,1.82200190747056,2.09777875132378,553.222655024277,163.406078209099,86.9748742491754,41,41,,41,41,0
2020-03-16,CA,20,1.91030209602972,1.90245809343274,1.76472218053119,2.04381223889987,644.819620871233,196.518275651909,89.0962126454967,42,7107,,7107,42,1
2020-03-17,CA,21,1.84110651824658,1.8408368113634,1.69920185455213,1.96617436013377,746.082230944567,235.433946121546,313.95808265556,148,148,,148,148,5
2020-03-18,CA,22,1.77621909536957,1.76747830161421,1.65898976662073,1.92152371205848,856.598635888775,280.91397170733,271.531314729133,128,128,,128,128,2
2020-03-19,CA,23,1.70850929184544,1.70722443908511,1.59578503682762,1.84103317417814,975.613506955032,333.474800389349,663.978918048583,313,1119,,1119,313,5
2020-03-20,CA,24,1.64056187800818,1.63919362304097,1.52955689966005,1.76980615567298,1102.05557231747,393.700705180514,294.866037088668,139,1776,,1776,139,2
2020-03-21,CA,25,1.57409932732628,1.56768766307651,1.46261936431681,1.69139363263288,1234.39875931193,462.102078381025,458.209093605412,216,1041,,1041,216,4
2020-03-22,CA,26,1.51066424847523,1.50576578237862,1.3863103674623,1.62130241082833,1370.41007633505,539.030919473247,545.183967854587,257,312,,312,257,3
2020-03-23,CA,27,1.44977432767174,1.44717822160658,1.34679397217446,1.56330653836458,1507.65622622714,624.563147423118,417.903664075306,197,13560,,1460,197,0
2020-03-24,CA,28,1.39354054513926,1.39144773729906,1.2918559890728,1.50374170880948,1643.87108197068,718.675298934796,782.773868242578,369,1254,,1254,369,13
2020-03-25,CA,29,1.34019845368886,1.33304830204452,1.2374983400105,1.43894791621548,1776.73249227243,820.977514179877,226.090209422961,253,39222,,2722,253,13
2020-03-26,CA,30,1.29113371252922,1.29116677847792,1.19080479204174,1.38397052030236,1904.08918117194,930.89536451112,1380.9912960052,651,10910,,2110,651,12
2020-03-27,CA,31,1.24669346784454,1.24381954369318,1.15566559041057,1.33885265570337,2023.99274333801,1047.44771148752,1851.92841998854,873,873,,873,873,13
2020-03-28,CA,32,1.20529031472881,1.20745922888654,1.11581066002104,1.28370087627912,2134.66188125053,1169.47103475764,1620.70253478951,764,10933,,3933,764,23
2020-03-29,CA,33,1.17102487223665,1.17460141688637,1.08834459693469,1.25395469981082,2234.87374723002,1295.51913122348,2259.22539208224,1065,1065,,1065,1065,22
2020-03-30,CA,34,1.13804604784744,1.13520278296376,1.05291752558607,1.21634781431408,2323.72395216969,1424.0476196507,1567.66907488148,739,739,,739,739,10
2020-03-31,CA,35,1.10971702324446,1.10629606749988,1.02048895826465,1.18967000946968,2401.1578586235,1553.33216046947,2195.5852401926,1035,0,,2258,1035,20
2020-04-01,CA,36,1.08575889551892,1.08437549346953,0.989916742906802,1.14536753060476,2467.0675527936,1681.66083588725,1427.66074072427,673,673,,673,673,18
2020-04-02,CA,37,1.06156421498422,1.05829298524677,0.988962820258015,1.14127957692741,2521.44799221933,1807.31351868927,2197.70657858892,1036,5173,,3073,1036,32
2020-04-03,CA,38,1.04320052092099,1.04255454523938,0.970586349414293,1.10996262583306,2565.15431200677,1928.73363928049,3203.22097844524,1510,2300,,2300,1510,34
2020-04-04,CA,39,1.02447309230264,1.02236654634782,0.946023256059609,1.09198053002578,2598.53725402688,2044.50128586832,1455.84844028812,1325,31900,,78400,1325,39
2020-04-05,CA,40,1.00677920974469,1.00326382691447,0.926298178510119,1.07533045940813,2622.3189438921,2153.41373937849,2995.32981560575,1412,4833,,2833,1412,43
2020-04-06,CA,41,0.990385604232888,0.988494128544665,0.919421756785498,1.06821322952213,2637.19082398112,2254.45296967639,1904.96187989657,898,898,,898,898,24
2020-04-07,CA,42,0.978581577837702,0.978525123258625,0.922191554272931,1.07309291383264,2643.22178639744,2346.90817126137,3243.52640797534,1529,12898,,13798,1529,31
2020-04-08,CA,43,0.968031920216984,0.966346398037432,0.889622638322119,1.03215163820506,2640.75645877122,2430.24688181759,2316.50152878291,1092,13535,,13035,1092,68
2020-04-09,CA,44,0.956708181698948,0.952065992676307,0.875222363829775,1.02299916277826,2631.19065775147,2504.16043246374,2529.24432477878,1352,18736,,19236,1352,50
2020-04-10,CA,45,0.944400688703975,0.939144661857305,0.874799259762859,1.02123546107516,2615.96252248965,2568.45867175689,2467.11655492173,1163,1163,,1363,1163,49
2020-04-11,CA,46,0.932355905821223,0.927767709879154,0.851933313580655,0.995178388117547,2595.283706301,2623.10486054754,2424.6897869953,1143,7656,,8356,1143,68
2020-04-12,CA,47,0.923177024301256,0.919632842988963,0.848678156569115,0.99254851816414,2568.73995635619,2668.19777092081,2415.35043010928,1179,17109,,17109,1179,42
2020-04-13,CA,48,0.912199853129304,0.908009926952668,0.832607373825459,0.97173773593207,2536.31359362814,2704.03236807445,1175.22147156203,554,554,,554,554,36
2020-04-14,CA,49,0.90300964109523,0.898883946784357,0.821024783589797,0.96640021102484,2498.87916298808,2731.00816680263,2100.12501235814,990,11326,,11326,990,71
2020-04-15,CA,50,0.896982743034125,0.897121447292799,0.826990228712064,0.966620345166969,2456.88425366611,2749.50767575343,2303.77349840499,1086,14278,,14278,1086,63
2020-04-16,CA,51,0.889851194517972,0.888832188667337,0.832075202002952,0.964900427313961,2410.66895364183,2759.89933364552,2059.84884217891,1758,29914,,29914,1758,69
2020-04-17,CA,52,0.884750152914868,0.883391726637888,0.805777776699307,0.938071156038481,2361.55529932951,2762.55762893058,2855.32148144854,1346,0,,5214,1346,95
2020-04-18,CA,53,0.880399044254091,0.879034150396106,0.815540392221195,0.94192021855162,2310.43526135284,2757.89364128322,3044.12059872114,1435,8052,,8052,1435,87
2020-04-19,CA,54,0.877708277933474,0.877020000088188,0.818564354320657,0.945157787825966,2257.77795238301,2746.30174431783,2261.41216688478,1370,21234,,21234,1370,94
2020-04-20,CA,55,0.873655949980136,0.870867604005098,0.822000196856798,0.945362901941838,2204.16221503726,2728.26944461739,1368.26326562727,645,2400,,9600,645,42
2020-04-21,CA,56,0.873901559068104,0.874614683635602,0.818881888728917,0.93590814870136,2150.21119297834,2704.33933796573,4843.01555880164,2283,9600,,9600,2283,60
2020-04-22,CA,57,0.873510446765567,0.871806013546514,0.814407046442202,0.929024038097455,2096.14177406475,2675.08405762953,452.905747614608,2135,165227,,165227,2135,86
2020-04-23,CA,58,0.873616870899877,0.869875335119314,0.803438129947553,0.923766383738343,2042.66048846576,2641.12024002615,4123.68034692506,1973,16770,,16770,1973,115
2020-04-24,CA,59,0.873697025800946,0.871968722354829,0.794259259670826,0.920582222328155,1990.40285190943,2603.05258967407,3998.72287706575,1885,12076,,12076,1885,93
2020-04-25,CA,60,0.874237730062854,0.872348610041272,0.813986009379077,0.932478348802754,1939.42145799493,2561.47965079653,3994.4802002731,1883,11862,,11862,1883,89
2020-04-26,CA,61,0.876730173886886,0.87553180815298,0.822398084704169,0.939408479177031,1889.76804342184,2517.00717292614,1795.43091150496,1027,20049,,20049,1027,59
2020-04-27,CA,62,0.880837563718606,0.881540614273277,0.826301084638546,0.945300612356155,1841.56595137013,2470.25381956119,1667.53190474541,1300,27325,,27325,1300,45
2020-04-28,CA,63,0.885426032244949,0.886437400063162,0.812592856789535,0.941124234367783,1795.17889494282,2421.75942328461,2269.66911120494,1567,24199,,24199,1567,54
2020-04-29,CA,64,0.890348939242112,0.891663189087642,0.829276349213473,0.955222860427126,1751.16666865408,2372.06904083281,2016.71691299989,1469,25531,,25531,1469,78
2020-04-30,CA,65,0.896119441153517,0.895097786449117,0.833426633495328,0.966855517315638,1709.86386136915,2321.62967255227,3816.39900237915,2417,22198,,22198,2417,95
2020-05-01,CA,66,0.900156077732004,0.896868467777722,0.836888777399085,0.96812945821447,1671.30853329548,2270.86294918125,1802.87415101763,1525,29648,,29648,1525,91
2020-05-02,CA,67,0.905286212624637,0.901246126437419,0.839373199397291,0.972238087581877,1635.47381138225,2220.18790413708,1933.28202750573,1755,31818,,31818,1755,98
2020-05-03,CA,68,0.912567620967371,0.91066633794709,0.84728998957595,0.97974803350856,1602.03199387245,2170.01874655234,1718.12517651497,1419,28948,,28948,1419,44
2020-05-04,CA,69,0.922505611002943,0.924358270799462,0.845654365518634,0.981941178572923,1570.79993419124,2120.73470773769,1441.3773400214,1321,32123,,32123,1321,39
2020-05-05,CA,70,0.93318198972467,0.932881313739109,0.857107824952609,0.995917079233687,1542.20348822491,2072.67123395419,1395.31201914406,1275,32028,,32028,1275,63
2020-05-06,CA,71,0.938140549605406,0.936082495444514,0.856578613732534,0.995085733604398,1516.94199445858,2026.09679598494,3131.5909009439,2603,29134,,29134,2603,95
2020-05-07,CA,72,0.944033418248317,0.943107256446092,0.873314571239205,1.00844845961806,1495.31601068324,1981.21182849964,1863.44872686615,1799,33838,,33838,1799,92
2020-05-08,CA,73,0.949417681615547,0.948838483865416,0.883625175532731,1.02312204296863,1476.42455072595,1938.1947453324,2053.37834353558,1898,32398,,32398,1898,81
2020-05-09,CA,74,0.957524648718184,0.954070531843134,0.880201449359932,1.0183090151776,1459.37872961815,1897.25261640287,1925.51711887827,2049,37298,,37298,2049,93
2020-05-10,CA,75,0.96426733351997,0.965856292384283,0.888619086903616,1.02744575470725,1444.04034255016,1858.6179577293,1723.47552221619,2119,43094,,43094,2119,67
2020-05-11,CA,76,0.971802584624878,0.970666445091216,0.886483917552588,1.02746878671641,1430.7786979593,1822.45817969415,1217.90217598354,1259,36233,,36233,1259,25
2020-05-12,CA,77,0.980182437168017,0.97877733505649,0.910655810383583,1.04343591118226,1419.72650266386,1788.82536942415,1219.52820678169,1443,41473,,41473,1443,77
2020-05-13,CA,78,0.98667187183772,0.98491829837363,0.914552668086294,1.05070338490742,1410.78053804535,1757.69384346965,1913.39359763084,1759,32222,,32222,1759,87
2020-05-14,CA,79,0.992474619006719,0.99182051850014,0.905925107054857,1.05953788662664,1404.04638274547,1729.02997388683,1815.37241900658,2023,39059,,39059,2023,98
2020-05-15,CA,80,0.998669277484304,0.998433643064661,0.913447952639543,1.06628546885001,1399.36496194529,1702.80973216198,2123.02244388421,1772,29255,,29255,1772,76
2020-05-16,CA,81,0.999991257112308,0.995421105214877,0.925608834978074,1.07555807200501,1396.38635716704,1679.00714722735,1439.36956698605,1857,45220,,45220,1857,96
2020-05-17,CA,82,1.0028355829221,1.00146348545718,0.92980463857307,1.08869535878688,1394.97739473457,1657.59734873649,1277.91554762655,2046,56117,,56117,2046,57
2020-05-18,CA,83,1.00666612525105,1.00592401265395,0.925328905725566,1.08124795993672,1394.58541587591,1638.55050455869,971.023847396785,1591,57429,,57429,1591,41
2020-05-19,CA,84,1.00961471020516,1.00747730584972,0.935709867442131,1.09176169124875,1394.83030339129,1621.81500633159,1025.71766490925,1365,46644,,46644,1365,32
2020-05-20,CA,85,1.01243630900874,1.01264912446943,0.928324687417039,1.07390617940989,1395.94286477096,1607.31869796125,1943.03593218981,2262,40804,,40804,2262,102
2020-05-21,CA,86,1.01497371488314,1.01494514578637,0.937949724174869,1.08227038873168,1398.00800214845,1594.94633956651,1829.13915065046,2140,41007,,41007,2140,106
2020-05-22,CA,87,1.01546248350648,1.01316545502037,0.934112123429695,1.08164253367415,1400.91694640782,1584.53975274312,1725.4060510945,2247,45646,,45646,2247,88
2020-05-23,CA,88,1.01806950926986,1.01907201472903,0.927762551108673,1.07735243848875,1404.57807687569,1575.94440530733,1579.43812113419,2187,48533,,48533,2187,78
2020-05-24,CA,89,1.01881719455112,1.01922920432306,0.937976391626381,1.08285374079906,1408.6796189291,1569.02089757583,1080.52380132488,2079,67439,,67439,2079,66
2020-05-25,CA,90,1.02084253936094,1.01921007415378,0.956846569491182,1.09810554878041,1413.1734595152,1563.63821416763,1055.67155626613,1848,61357,,61357,1848,21
2020-05-26,CA,91,1.022902740522,1.0202515930107,0.957743059468844,1.09755721567009,1418.08202908584,1559.67720699411,1457.80142039153,2175,52294,,52294,2175,19
2020-05-27,CA,92,1.02387470092607,1.02161162706752,0.945939488680095,1.08730985260959,1423.4151176092,1557.01065898984,1944.73516243418,2247,40498,,40498,2247,70
2020-05-28,CA,93,1.02539514236472,1.02384462953288,0.952379558522049,1.10597431311282,1429.25665009921,1555.51136883526,1774.55504390351,2717,53665,,53665,2717,89
2020-05-29,CA,94,1.02503087553151,1.0237919613203,0.950093148323034,1.09805815679698,1435.4890488251,1555.06586513979,1708.07388429946,2189,44919,,44919,2189,95
2020-05-30,CA,95,1.02659251640279,1.0232595174733,0.942557956916595,1.09507926200922,1442.02325451402,1555.57336923971,1974.32671008018,2992,53117,,53117,2992,88
2020-05-31,CA,96,1.03037373746253,1.02514596569959,0.953440009108189,1.10223354837451,1448.72272698785,1556.95064262793,2308.51921669831,3705,56253,,56253,3705,57
2020-06-01,CA,97,1.03402430656989,1.03026526665889,0.954409340166827,1.11598067539443,1455.71658590975,1559.12534837799,1253.80861419263,2423,67735,,67735,2423,38
2020-06-02,CA,98,1.03705375535725,1.03559401686449,0.941013998021764,1.11524730785652,1463.56008540797,1562.02859464316,1368.55592749713,2304,59008,,59008,2304,35
2020-06-03,CA,99,1.03741827077096,1.0378886984517,0.957738690961417,1.1398582916852,1472.54915771778,1565.58775912607,1395.48122436019,2377,59703,,59703,2377,75
2020-06-04,CA,100,1.03769585363323,1.03631614268814,0.948915640596884,1.13378295938727,1482.55824312353,1569.74185572184,1446.29901302734,2120,51377,,51377,2120,61
2020-06-05,CA,101,1.0394847116863,1.03426607196143,0.94884630262608,1.1402538313732,1493.08611997209,1574.47954483711,1943.74527041979,3094,55792,,55792,3094,63
2020-06-06,CA,102,1.0437422699481,1.03841748469561,0.946197451995786,1.15322203558921,1503.80038314333,1579.84278333705,1563.37602021278,3115,69837,,69837,3115,74
2020-06-07,CA,103,1.04826123374755,1.04625296931842,0.94054530363178,1.16132218036456,1514.99314682445,1585.88888444686,1817.58346427599,2796,53918,,53918,2796,67
2020-06-08,CA,104,1.04952940236739,1.0510390201828,0.912450545087011,1.15309469407261,1527.32207230639,1592.64373455738,1274.00896693866,2507,68972,,68972,2507,27
2020-06-09,CA,105,1.05454197420118,1.05234924300739,0.927610148920391,1.17088254064086,1541.23260949667,1600.08837532179,1381.50969554719,2170,55055,,55055,2170,44
2020-06-10,CA,106,1.05650672581238,1.05230124665883,0.928814177359655,1.18629425388423,1556.41673316499,1608.20086200032,1736.03180140906,2702,54553,,54553,2702,79
2020-06-11,CA,107,1.05814379812987,1.06271359464731,0.920099214863389,1.19157842974581,1572.93973578847,1617.01050195819,1905.13879180948,3090,56849,,56849,3090,105
2020-06-12,CA,108,1.05892829615711,1.05578625570731,0.938401330667079,1.21764400904299,1590.91903375201,1626.6034438916,1465.78357961134,2702,64611,,64611,2702,62
2020-06-13,CA,109,1.05902128256483,1.05636935514975,0.909641306014781,1.20221909843008,1610.11651747989,1637.06894744816,2064.5991919287,3660,62135,,62135,3660,46
2020-06-14,CA,110,1.06040447528197,1.05799046729059,0.891179931109803,1.20084873209815,1630.30467324622,1648.49327370783,1450.734690694,3212,77603,,77603,3212,74
2020-06-15,CA,111,1.06372401233085,1.05281365063413,0.873664187890488,1.19704761314897,1651.33782752951,1660.96417949531,1375.2979161843,2597,66186,,66186,2597,26
2020-06-16,CA,112,1.06464874087408,1.05515963908089,0.889438242772413,1.22291882567013,1673.55166702789,1674.55177705258,1061.99102435219,2108,69573,,69573,2108,32
2020-06-17,CA,113,1.06732867196806,1.05942830363605,0.874630040986524,1.22649143244464,1697.67511318888,1689.29381279888,2010.50208385279,3455,60233,,60233,3455,87
2020-06-18,CA,114,1.06972016639353,1.05613649061013,0.8537861450332,1.22028807499604,1723.75994237619,1705.19824579907,1870.15196452863,4084,76542,,76542,4084,82
2020-06-19,CA,115,1.06786014476683,1.05514830010819,0.855025298256453,1.23118888923956,1751.81178868834,1722.27552300051,1864.08955187158,4317,81172,,81172,4317,70
2020-06-20,CA,116,1.06766967820413,1.05636268628929,0.838156850981378,1.22372966689715,1782.15991283187,1740.59174743454,1733.58628161681,3893,78710,,78710,3893,64
2020-06-21,CA,117,1.06672859736378,1.05575918582276,0.837899778541835,1.24232943499321,1814.38282101357,1760.24421948924,1865.20937500422,4515,84844,,84844,4515,71
2020-06-22,CA,118,1.07193898496821,1.06452147632555,0.850407577796631,1.26255711112008,1848.22681094293,1781.33542075439,1604.05178411124,4230,92430,,92430,4230,20
